Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date
54,103,75,5,0,72,3,bowled,1,,v South Africa,Hove,15-May-99
13,23,14,2,0,92.85,3,caught,2,,v Zimbabwe,Leicester,19-May-99
145,179,129,17,1,112.4,3,run out,1,,v Sri Lanka,Taunton,26-May-99
53,116,82,6,0,64.63,3,caught,1,,v England,Birmingham,29-May-99
2,8,6,0,0,33.33,3,caught,2,,v Australia,The Oval,04-Jun-99
61,119,89,4,0,68.53,3,caught,1,,v Pakistan,Manchester,08-Jun-99
29,45,35,5,0,82.85,3,caught,1,,v New Zealand,Nottingham,12-Jun-99
17,45,38,0,0,44.73,4,bowled,1,,v Netherlands,Paarl,12-Feb-03
1,27,23,0,0,4.34,4,bowled,1,,v Australia,Centurion,15-Feb-03
62,110,72,3,1,86.11,5,caught,1,,v England,Durban,26-Feb-03
32,91,73,3,0,43.83,5,caught,2,,v Kenya,Cape Town,07-Mar-03
47,87,57,2,0,82.45,5,bowled,2,,v Australia,Johannesburg,23-Mar-03
14,31,28,0,0,50,5,lbw,1,,v Bangladesh,Port of Spain,17-Mar-07
60,111,82,6,0,73.17,5,caught,2,,v Sri Lanka,Port of Spain,23-Mar-07
